id,lat,lon,stratum,bbox_min_lat,bbox_max_lat,bbox_min_lon,bbox_max_lon
239,23.258923,113.374323,dense_urban,23.257773,23.260073,113.373072,113.375575
240,29.591832,-95.496863,dense_urban,29.590682,29.592982,-95.498185,-95.495541
241,40.559725,-3.670096,dense_urban,40.558575,40.560875,-3.671609,-3.668583
242,-37.744254,145.122846,dense_urban,-37.745404,-37.743104,145.121392,145.1243
243,47.535995,-122.124307,dense_urban,47.534845,47.537145,-122.12601,-122.122604
244,-34.098301,150.904458,dense_urban,-34.099451,-34.097151,150.90307,150.905847
245,50.700804,4.251828,dense_urban,50.699654,50.701954,4.250012,4.253643
246,-6.345886,106.710122,dense_urban,-6.347035,-6.344736,106.708965,106.711279
247,52.421175,13.673546,dense_urban,52.420025,52.422325,13.67166,13.675431
248,9.166258,38.642562,dense_urban,9.165108,9.167408,38.641398,38.643727
249,40.868952,28.585694,dense_urban,40.867802,40.870101,28.584173,28.587214
250,35.600238,51.541433,dense_urban,35.599088,35.601388,51.540019,51.542847
251,-31.72031,116.167796,dense_urban,-31.72146,-31.719161,116.166444,116.169148
252,52.250394,21.013157,dense_urban,52.249244,52.251544,21.011279,21.015035
253,37.537122,127.005507,dense_urban,37.535972,37.538272,127.004057,127.006957
254,-33.893253,150.923526,dense_urban,-33.894403,-33.892104,150.922141,150.924911
255,4.548692,-74.248298,dense_urban,4.547542,4.549841,-74.249452,-74.247145
256,-12.041282,-77.184255,dense_urban,-12.042431,-12.040132,-77.185431,-77.183079
257,50.106184,8.602643,dense_urban,50.105034,50.107334,8.60085,8.604436
258,25.043823,121.378104,dense_urban,25.042673,25.044973,121.376834,121.379373
259,19.18994,72.817915,dense_urban,19.18879,19.19109,72.816698,72.819133
260,28.730005,77.033303,dense_urban,28.728855,28.731155,77.031991,77.034614
261,6.403556,3.324841,dense_urban,6.402406,6.404706,3.323684,3.325998
262,29.638986,106.779548,dense_urban,29.637836,29.640136,106.778225,106.780871
263,52.362868,4.902767,dense_urban,52.361718,52.364018,4.900884,4.90465
264,13.653457,100.554008,dense_urban,13.652307,13.654607,100.552824,100.555191
265,-4.249108,15.401748,dense_urban,-4.250258,-4.247958,15.400595,15.402901
266,34.543748,135.515962,dense_urban,34.542599,34.544898,135.514566,135.517358
267,50.656034,4.429932,dense_urban,50.654885,50.657184,4.428118,4.431745
268,40.952483,28.580465,dense_urban,40.951333,40.953633,28.578943,28.581987
269,50.206608,14.427519,dense_urban,50.205458,50.207758,14.425722,14.429315
270,17.201352,78.39771,dense_urban,17.200203,17.202502,78.396507,78.398914
271,25.199936,51.544798,dense_urban,25.198787,25.201086,51.543527,51.546068
272,35.3144,129.045316,dense_urban,35.31325,35.31555,129.043907,129.046725
273,3.045957,101.652169,dense_urban,3.044807,3.047106,101.651017,101.65332
274,24.934041,46.528183,dense_urban,24.932891,24.935191,46.526915,46.529451
275,29.686205,-95.789434,dense_urban,29.685055,29.687355,-95.790758,-95.788111
276,35.632819,139.711279,dense_urban,35.631669,35.633969,139.709865,139.712694
277,51.479949,0.262995,dense_urban,51.478799,51.481098,0.261149,0.264841
278,-37.910925,144.716893,dense_urban,-37.912074,-37.909775,144.715436,144.718351
279,3.178189,101.665267,dense_urban,3.177039,3.179339,101.664115,101.666419
280,-1.406497,36.869136,dense_urban,-1.407647,-1.405347,36.867986,36.870286
281,34.75514,135.445336,dense_urban,34.75399,34.75629,135.443937,135.446736
282,52.250428,21.082301,dense_urban,52.249278,52.251578,21.080423,21.084179
283,44.42135,25.81672,dense_urban,44.4202,44.4225,25.81511,25.81833
284,37.546251,126.828501,dense_urban,37.545101,37.547401,126.827051,126.829952
